案件, 縣市, 鄉鎮市區, 同意票數, 不同意票數, 有效票數, 投票權人數
c07, 臺中市, 石岡區, 5735, 1379, 7114, 12880
c07, 臺中市, 神岡區, 24223, 5774, 29997, 54565
c07, 臺中市, 西區, 41855, 10696, 52551, 95040
c07, 臺中市, 西屯區, 82825, 18412, 101237, 183814
c07, 臺中市, 豐原區, 61483, 15505, 76988, 136658
c07, 臺中市, 霧峰區, 25277, 5735, 31012, 55225
c07, 臺中市, 龍井區, 26747, 6871, 33618, 63584
c07, 臺北市, , 924026, 277072, 1201098, 2228430
c07, 臺北市, 中山區, 78649, 25050, 103699, 195148
c07, 臺北市, 中正區, 54089, 16359, 70448, 128292
c07, 臺北市, 信義區, 80160, 23245, 103405, 190444
c07, 臺北市, 內湖區, 101149, 28663, 129812, 236824
c07, 臺北市, 北投區, 85525, 25619, 111144, 213250
c07, 臺北市, 南港區, 43217, 12009, 55226, 101907
c07, 臺北市, 士林區, 96156, 31493, 127649, 241854
c07, 臺北市, 大同區, 42497, 14769, 57266, 107557
c07, 臺北市, 大安區, 104681, 32294, 136975, 252645
c07, 臺北市, 文山區, 101174, 26288, 127462, 227211
c07, 臺北市, 松山區, 72344, 21698, 94042, 169278
c07, 臺北市, 萬華區, 64385, 19585, 83970, 164020
c07, 臺南市, , 572230, 167275, 739505, 1594821
c07, 臺南市, 七股區, 6088, 1601, 7689, 19950
c07, 臺南市, 下營區, 6734, 1827, 8561, 20947
c07, 臺南市, 中西區, 24805, 8210, 33015, 65261
c07, 臺南市, 仁德區, 24241, 6852, 31093, 64632
c07, 臺南市, 佳里區, 19007, 4960, 23967, 50407
c07, 臺南市, 六甲區, 6274, 1934, 8208, 19144
c07, 臺南市, 北區, 41806, 12882, 54688, 110906
c07, 臺南市, 北門區, 2791, 714, 3505, 9925
c07, 臺南市, 南化區, 2581, 694, 3275, 7786
c07, 臺南市, 南區, 37899, 11973, 49872, 108650
c07, 臺南市, 善化區, 14134, 4332, 18466, 39950
c07, 臺南市, 大內區, 2868, 708, 3576, 8654
c07, 臺南市, 學甲區, 7444, 2145, 9589, 22567
c07, 臺南市, 安南區, 58644, 17005, 75649, 159654
c07, 臺南市, 安定區, 9675, 2801, 12476, 26104
c07, 臺南市, 安平區, 19987, 5922, 25909, 55379
c07, 臺南市, 官田區, 6127, 1935, 8062, 18675
c07, 臺南市, 將軍區, 5144, 1406, 6550, 17754
c07, 臺南市, 山上區, 1960, 542, 2502, 6511
c07, 臺南市, 左鎮區, 1315, 348, 1663, 4418
c07, 臺南市, 後壁區, 6384, 1789, 8173, 20841
c07, 臺南市, 新化區, 13968, 3880, 17848, 37296
c07, 臺南市, 新市區, 11296, 3511, 14807, 30386
c07, 臺南市, 新營區, 23334, 6243, 29577, 64949
c07, 臺南市, 東區, 59256, 18165, 77421, 153359
c07, 臺南市, 東山區, 4639, 1339, 5978, 18471
c07, 臺南市, 柳營區, 6416, 1700, 8116, 18804
c07, 臺南市, 楠西區, 2647, 696, 3343, 8528
c07, 臺南市, 歸仁區, 21131, 6313, 27444, 57387
c07, 臺南市, 永康區, 73031, 20165, 93196, 195001
c07, 臺南市, 玉井區, 4278, 1046, 5324, 12357
c07, 臺南市, 白河區, 7115, 2194, 9309, 24894
c07, 臺南市, 西港區, 7029, 1898, 8927, 21564
c07, 臺南市, 關廟區, 11016, 3138, 14154, 29913
c07, 臺南市, 鹽水區, 7197, 2115, 9312, 22121
c07, 臺南市, 麻豆區, 12768, 3962, 16730, 37963
c07, 臺南市, 龍崎區, 1201, 330, 1531, 3713
c07, 臺東縣, , 67881, 17418, 85299, 185996
c07, 臺東縣, 卑南鄉, 5493, 1478, 6971, 14976
c07, 臺東縣, 大武鄉, 1658, 485, 2143, 5266
c07, 臺東縣, 太麻里鄉, 3129, 898, 4027, 9666
c07, 臺東縣, 延平鄉, 1008, 311, 1319, 2930
c07, 臺東縣, 成功鎮, 4157, 1106, 5263, 12426
c07, 臺東縣, 東河鄉, 2149, 636, 2785, 7635
c07, 臺東縣, 池上鄉, 2353, 585, 2938, 7162
c07, 臺東縣, 海端鄉, 1151, 383, 1534, 3278
c07, 臺東縣, 綠島鄉, 1183, 276, 1459, 3579
c07, 臺東縣, 臺東市, 35634, 8420, 44054, 87803
c07, 臺東縣, 蘭嶼鄉, 1020, 384, 1404, 4181
c07, 臺東縣, 達仁鄉, 1240, 337, 1577, 3137
c07, 臺東縣, 金峰鄉, 1090, 318, 1408, 3028
c07, 臺東縣, 長濱鄉, 1686, 496, 2182, 6484
c07, 臺東縣, 關山鎮, 2816, 631, 3447, 7509
c07, 臺東縣, 鹿野鄉, 2114, 674, 2788, 6936
c07, 花蓮縣, , 108373, 25734, 134107, 278059
c07, 花蓮縣, 光復鄉, 4079, 1077, 5156, 11417
c07, 花蓮縣, 卓溪鄉, 1889, 515, 2404, 4947
c07, 花蓮縣, 吉安鄉, 29187, 6603, 35790, 72116
c07, 花蓮縣, 壽豐鄉, 6262, 1724, 7986, 15847
c07, 花蓮縣, 富里鄉, 2909, 736, 3645, 9065
c07, 花蓮縣, 新城鄉, 6963, 1575, 8538, 17029
c07, 花蓮縣, 玉里鎮, 6862, 1752, 8614, 20650
c07, 花蓮縣, 瑞穗鄉, 3616, 910, 4526, 10279
c07, 花蓮縣, 秀林鄉, 4415, 1109, 5524, 12562
c07, 花蓮縣, 花蓮市, 35174, 7825, 42999, 84807
c07, 花蓮縣, 萬榮鄉, 1872, 625, 2497, 5269
c07, 花蓮縣, 豐濱鄉, 1236, 386, 1622, 4395
c07, 花蓮縣, 鳳林鎮, 3909, 897, 4806, 9676
c07, 苗栗縣, , 198009, 47324, 245333, 461580
c07, 苗栗縣, 三灣鄉, 2464, 651, 3115, 5852
c07, 苗栗縣, 三義鄉, 6388, 1334, 7722, 13889
c07, 苗栗縣, 公館鄉, 12634, 3027, 15661, 28318
c07, 苗栗縣, 卓蘭鎮, 6482, 1521, 8003, 14772
c07, 苗栗縣, 南庄鄉, 3104, 893, 3997, 8784
c07, 苗栗縣, 大湖鄉, 5128, 1137, 6265, 12653
c07, 苗栗縣, 後龍鎮, 12288, 3270, 15558, 30948
c07, 苗栗縣, 泰安鄉, 2518, 616, 3134, 5180
c07, 苗栗縣, 獅潭鄉, 1552, 324, 1876, 3968
c07, 苗栗縣, 竹南鎮, 29221, 6996, 36217, 68528
c07, 苗栗縣, 苑裡鎮, 15998, 4451, 20449, 38890
c07, 苗栗縣, 苗栗市, 33815, 7069, 40884, 74249
c07, 苗栗縣, 西湖鄉, 2724, 617, 3341, 6382
c07, 苗栗縣, 通霄鎮, 11314, 3282, 14596, 29709
c07, 苗栗縣, 造橋鄉, 4744, 1156, 5900, 11027
c07, 苗栗縣, 銅鑼鄉, 6726, 1472, 8198, 15424
c07, 苗栗縣, 頭份市, 36143, 8496, 44639, 83617
c07, 苗栗縣, 頭屋鄉, 4766, 1012, 5778, 9390
c07, 連江縣, , 4843, 655, 5498, 11205
c07, 連江縣, 北竿鄉, 914, 141, 1055, 2125
c07, 連江縣, 南竿鄉, 2773, 367, 3140, 6461
c07, 連江縣, 東引鄉, 512, 52, 564, 1138
c07, 連江縣, 莒光鄉, 644, 95, 739, 1481
c07, 金門縣, , 35436, 6045, 41481, 122695
c07, 金門縣, 烈嶼鄉, 3546, 506, 4052, 11676
c07, 金門縣, 烏坵鄉, 138, 16, 154, 567
c07, 金門縣, 金城鎮, 10725, 1824, 12549, 37815
c07, 金門縣, 金寧鄉, 8151, 1507, 9658, 28162
c07, 金門縣, 金沙鎮, 5261, 868, 6129, 18560
c07, 金門縣, 金湖鎮, 7615, 1324, 8939, 25915
c07, 雲林縣, , 213508, 57394, 270902, 584480
c07, 雲林縣, 二崙鄉, 7403, 2281, 9684, 23367
c07, 雲林縣, 元長鄉, 6583, 1928, 8511, 22830
c07, 雲林縣, 北港鎮, 12837, 3548, 16385, 33958
c07, 雲林縣, 口湖鄉, 7648, 2080, 9728, 24193
c07, 雲林縣, 古坑鄉, 10321, 2757, 13078, 27477
c07, 雲林縣, 四湖鄉, 5552, 1552, 7104, 20983
c07, 雲林縣, 土庫鎮, 8902, 2454, 11356, 24412
c07, 雲林縣, 大埤鄉, 5988, 1651, 7639, 16509
c07, 雲林縣, 崙背鄉, 6925, 2106, 9031, 21050
c07, 雲林縣, 斗六市, 38874, 9361, 48235, 89761
c07, 雲林縣, 斗南鎮, 15804, 4072, 19876, 38138
c07, 雲林縣, 東勢鄉, 4542, 1181, 5723, 13239
c07, 雲林縣, 林內鄉, 6202, 1601, 7803, 15551
c07, 雲林縣, 水林鄉, 6599, 1794, 8393, 22508
c07, 雲林縣, 臺西鄉, 6679, 1728, 8407, 21125
c07, 雲林縣, 莿桐鄉, 9304, 2727, 12031, 24570
c07, 雲林縣, 虎尾鎮, 22521, 5890, 28411, 58167
c07, 雲林縣, 褒忠鄉, 4069, 1127, 5196, 11381
c07, 雲林縣, 西螺鎮, 14318, 3797, 18115, 38142
c07, 雲林縣, 麥寮鄉, 12437, 3759, 16196, 37119
c07, 高雄市, , 990802, 272337, 1263139, 2353342
c07, 高雄市, 三民區, 121925, 35486, 157411, 289519
c07, 高雄市, 仁武區, 31665, 8127, 39792, 73611
c07, 高雄市, 內門區, 4181, 1233, 5414, 13002
c07, 高雄市, 六龜區, 3692, 1075, 4767, 11501
c07, 高雄市, 前金區, 10022, 3181, 13203, 23928
c07, 高雄市, 前鎮區, 66683, 18986, 85669, 161797
c07, 高雄市, 大寮區, 40259, 10438, 50697, 97309
c07, 高雄市, 大樹區, 14634, 3834, 18468, 36772
c07, 高雄市, 大社區, 11644, 3867, 15511, 30046
c07, 高雄市, 小港區, 55974, 15327, 71301, 132733
c07, 高雄市, 岡山區, 37008, 9109, 46117, 81244
c07, 高雄市, 左營區, 73230, 18003, 91233, 161367
c07, 高雄市, 彌陀區, 7027, 1965, 8992, 16487
c07, 高雄市, 新興區, 18956, 5836, 24792, 44355
c07, 高雄市, 旗山區, 12737, 3373, 16110, 31996
c07, 高雄市, 旗津區, 8332, 2706, 11038, 24860
c07, 高雄市, 杉林區, 3301, 981, 4282, 10607
c07, 高雄市, 林園區, 23394, 6249, 29643, 59129
c07, 高雄市, 桃源區, 1339, 305, 1644, 3498
c07, 高雄市, 梓官區, 12760, 3460, 16220, 31025
c07, 高雄市, 楠梓區, 66374, 17502, 83876, 153132
c07, 高雄市, 橋頭區, 14112, 4123, 18235, 32565
c07, 高雄市, 永安區, 5315, 1565, 6880, 12001
c07, 高雄市, 湖內區, 10110, 2791, 12901, 25729
c07, 高雄市, 燕巢區, 10583, 2759, 13342, 26012
c07, 高雄市, 田寮區, 2119, 621, 2740, 6671
c07, 高雄市, 甲仙區, 1893, 444, 2337, 5417
c07, 高雄市, 美濃區, 13876, 3588, 17464, 35311
c07, 高雄市, 苓雅區, 62964, 18917, 81881, 146786
c07, 高雄市, 茂林區, 809, 166, 975, 1615
c07, 高雄市, 茄萣區, 9361, 3019, 12380, 26212
c07, 高雄市, 路竹區, 18361, 5165, 23526, 43850
c07, 高雄市, 那瑪夏區, 979, 254, 1233, 2424
c07, 高雄市, 阿蓮區, 9426, 2614, 12040, 24534
c07, 高雄市, 鳥松區, 16980, 4996, 21976, 39191
c07, 高雄市, 鳳山區, 130829, 33944, 164773, 300510
c07, 高雄市, 鹽埕區, 8437, 2797, 11234, 21617
c07, 高雄市, 鼓山區, 49511, 13531, 63042, 114979
c08, 全國, , 7599267, 2346316, 9945583, 19757067
c08, 南投縣, , 178821, 46683, 225504, 427089
c08, 南投縣, 中寮鄉, 5299, 1549, 6848, 13181
c08, 南投縣, 仁愛鄉, 4953, 1158, 6111, 12589
c08, 南投縣, 信義鄉, 5078, 1353, 6431, 13299
c08, 南投縣, 南投市, 37773, 9552, 47325, 84328
c08, 南投縣, 名間鄉, 14224, 3820, 18044, 33408
c08, 南投縣, 國姓鄉, 6621, 1861, 8482, 16597
c08, 南投縣, 埔里鎮, 29379, 7062, 36441, 68763
c08, 南投縣, 水里鄉, 6115, 1728, 7843, 15458
c08, 南投縣, 竹山鎮, 18263, 5289, 23552, 47034
c08, 南投縣, 草屯鎮, 35497, 9226, 44723, 82922
c08, 南投縣, 集集鎮, 4010, 1023, 5033, 9611
c08, 南投縣, 魚池鄉, 5418, 1488, 6906, 13958
c08, 南投縣, 鹿谷鄉, 6191, 1574, 7765, 15941
c08, 嘉義市, , 81506, 27853, 109359, 221553
c08, 嘉義市, 東區, 37194, 12843, 50037, 100647
c08, 嘉義市, 西區, 44312, 15010, 59322, 120906
c08, 嘉義縣, , 145827, 49345, 195172, 442775
c08, 嘉義縣, 中埔鄉, 12092, 4090, 16182, 39139
c08, 嘉義縣, 六腳鄉, 5473, 1859, 7332, 20821
c08, 嘉義縣, 大埔鄉, 1488, 448, 1936, 3999
c08, 嘉義縣, 大林鎮, 9111, 3032, 12143, 26922
c08, 嘉義縣, 太保市, 10962, 3836, 14798, 31568
c08, 嘉義縣, 布袋鎮, 7385, 2490, 9875, 23965
c08, 嘉義縣, 新港鄉, 9189, 3294, 12483, 27342
c08, 嘉義縣, 朴子市, 12009, 3835, 15844, 35191
c08, 嘉義縣, 東石鄉, 5381, 1864, 7245, 21915
c08, 嘉義縣, 梅山鄉, 6169, 2019, 8188, 17083
c08, 嘉義縣, 民雄鄉, 21538, 7626, 29164, 61209
c08, 嘉義縣, 水上鄉, 15249, 5407, 20656, 43857
c08, 嘉義縣, 溪口鄉, 4125, 1455, 5580, 13105
c08, 嘉義縣, 番路鄉, 3888, 1102, 4990, 10156
c08, 嘉義縣, 竹崎鄉, 10700, 3474, 14174, 31228
c08, 嘉義縣, 義竹鄉, 5431, 1796, 7227, 16647
c08, 嘉義縣, 阿里山鄉, 1539, 369, 1908, 4691
c08, 嘉義縣, 鹿草鄉, 4098, 1349, 5447, 13937
c08, 基隆市, , 118570, 33570, 152140, 320030
c08, 基隆市, 七堵區, 17242, 5289, 22531, 46256
c08, 基隆市, 中山區, 14924, 4550, 19474, 41856
c08, 基隆市, 中正區, 15275, 4267, 19542, 45545
c08, 基隆市, 仁愛區, 13573, 4225, 17798, 36738
