季度,股本,股價,營業收入,營業毛利,營業利益,業外損益,稅後淨利,ROE,ROA,EPS,BPS
6568,3.08,120,8.37,3.26,1.05,-0.11,0.72,4.9,4.32,2.37,48.33
6569,3.91,120,9.98,3.17,0.25,0.45,0.66,4.24,3.09,1.69,38.9
6570,3.71,40.9,6.66,2.3,0.43,-0.08,0.28,3.43,2.03,0.74,21.19
6573,8.05,9.7,6.43,0.57,-0.92,2.3,1.29,19,7.54,1.61,8.15
6574,2.2,74.3,4.36,2.58,1.08,0.06,0.9,12.5,9.66,4.08,34.89
6576,15.8,76.7,3.79,2.59,-7.28,-0.01,-7.37,-55.4,-39.5,-4.78,6.75
6577,6.01,75.4,15.3,5.09,2.98,-0.26,2.16,14.8,9.77,3.59,22.65
6578,7.19,22.4,2.28,0.5,-0.17,-0.07,-0.25,-2.37,-2,-0.35,14.27
6579,16.9,122,63.7,21.3,4.83,1.11,4.32,4.26,3.52,3.44,57.07
6581,11.1,108,16.3,8.28,6.18,0,4.96,11.3,9.4,4.45,38.59
6582,10.6,32.7,6.96,-0.31,-1.48,1.26,-0.2,-0.32,-0.31,-0.19,58.07
6584,6.68,218,17.2,5.73,3.04,-0.12,2.04,8.7,4.88,3.11,36.82
6585,7.21,101,21.2,6.88,3.73,-0.26,2.74,7.09,5.29,3.81,51.99
6588,3.47,29.2,1.18,-0.17,-0.71,-0.09,-0.74,-9.24,-7.31,-2.13,21.69
6589,30.6,62.7,6.42,0.68,-5.38,-0.49,-5.88,-6.65,-5.53,-1.94,27.93
6590,2.18,81.2,4.95,2.36,1.17,0.08,0.94,13.5,9.32,3.83,30.98
6591,4.11,75.5,13.7,4.87,2.35,0.19,1.78,8.68,5.51,4.65,51.93
6592,62.3,68.1,179,108,29.3,1.49,24.1,5.85,0.75,3.16,51.57
6593,2.77,57.4,3.2,0.6,-0.5,-0.04,-0.44,-6.13,-4.73,-1.71,26.92
6596,3.8,151,27.1,10.4,8.03,0.24,6.62,46.8,28.8,17.41,42.44
6597,3,70.5,5.69,1.65,0.8,-0.24,0.45,6.73,4.27,1.62,26.94
6598,10.3,20.6,3.59,2.12,-1.54,0.18,-1.37,-17.5,-12.2,-1.33,6.69
6603,16.7,16.4,36.3,9.24,1.34,-0.41,0.45,2.02,0.65,0.27,14.28
6605,16.6,159,144,45.1,24.3,-5.54,14.7,7.49,4.55,8.84,114.81
6606,11,24.7,6,2.45,1.36,-0.04,0.84,4.88,3.9,0.76,13.88
6609,7.25,41.4,16.3,2.49,-0.09,-0.46,-0.49,-2,-1.34,-0.68,33.1
6612,4.74,108,8.3,4.78,1.06,-0.68,0.33,0.05,0.03,0.7,36.84
6613,3.89,187,62.4,20.6,13.3,0.64,7.88,15.2,8.64,10.14,65.12
6615,2.16,31.4,2.9,0.76,-0.24,0.21,-0.05,-0.76,-0.65,-0.22,29.3
6616,3.55,9.91,7.58,0.91,-0.06,-0.03,-0.09,-2.02,-1.17,-0.25,12
6617,12.8,99.6,0.29,0.22,-1.38,0.68,-0.67,-2.5,-2.28,-0.54,20.54
6624,2.09,34.4,3.64,0.63,0.1,-0.09,-0.01,0.09,0.04,-0.03,20.6
6625,5.8,90.8,29.8,5.76,3.84,0.6,3.6,26.5,13.3,6.5,29.6
6629,3.83,90.6,11.5,3.46,2.69,-0.62,1.64,10.1,7.07,4.28,42.42
6637,2.68,89.8,9.15,2.62,1.81,0.05,1.48,15,9.84,5.8,40.18
6640,2.83,682,20.2,7.93,3.1,-0.05,2.63,12.5,5.4,9.4,65.7
6641,3.65,21.5,12.8,3.99,-0.09,0.2,0.04,0.03,0.02,0.11,38.25
6642,3.74,55.9,4.07,1.84,0.93,-0.14,0.67,6.33,4.61,1.78,27.71
6643,4.18,502,12.4,12.4,-0.01,-0.25,-0.29,-1.54,-1.4,-0.69,43.05
6645,6.09,20.1,3.72,0.55,-1.17,-0.03,-1.19,-20.4,-11,-1.96,8.51
6649,4.2,48.6,1.74,1.11,0.61,-0.06,0.55,8.44,7.5,1.31,16.22
